"itemTitle","itemNote","itemCategory","itemLocation","itemTag","itemDateTime","itemPrice1","itemQty","itemPrice2","itemQtyMin","itemTitle1","itemDesc","itemCustomBarcode","itemASIN","itemUPC","itemISBN","itemEAN","itemModel","itemSerial","itemAttachment"
"#7 Plastic Ski Boots","","Ski Boots","","","2015-06-02 17:58","0.0","0","0.0","1.0","Garmont size 41","","000007","","","","","","","* 20150512_183605-resized-1024.jpg
* 20150512_183611-resized-1024.jpg"
"#70 Ski Gloves","","Ski Gloves","","","2015-12-03 21:20","0.0","0","0.0","0.0","Aldi","","000070","","","","","","","* 151203_212149.jpg"
"#71 Ski Gloves","","Ski Gloves","","","2015-12-03 21:22","0.0","0","0.0","0.0","Aldi","","000071","","","","","","","* 151203_212235.jpg"
"#72 Ski Gloves","","Ski Gloves","","","2015-12-03 21:22","0.0","0","0.0","0.0","Aldi","","000072","","","","","","","* 151203_212349.jpg"
"#73 Ski Gloves","","Ski Gloves","","","2015-12-03 21:24","0.0","0","0.0","0.0","Aldi","","000073","","","","","","","* 151203_212436.jpg"
"#74 Ski Gloves","","Ski Gloves","","","2015-12-03 21:24","0.0","0","0.0","0.0","Aldi","","000074","","","","","","","* 151203_212513.jpg"
"#75 Ski Goggles","","Ski Goggles","","","2015-12-03 21:29","0.0","0","0.0","0.0","","","000075","","","","","","","* 151203_213018.jpg"
"#76 Ski Goggles","","Ski Goggles","","","2015-12-03 21:34","0.0","0","0.0","0.0","Aldi","","000076","","","","","","","* 151203_213509.jpg"
"#77 Ski Goggles","","Ski Goggles","","","2015-12-03 21:37","0.0","0","0.0","0.0","Aldi","","000078","","","","","","","* 151203_213853.jpg"
"#78 Ski Goggles","","Ski Goggles","","","2015-12-03 21:35","0.0","0","0.0","0.0","Aldi","","000078","","","","","","","* 151203_213702.jpg"
"#79 Ski Goggles","","Ski Goggles","","","2015-12-03 21:31","0.0","0","0.0","0.0","Aldi","","000079","","","","","","","* 151203_213216.jpg"
"#8 Plastic Ski Boots","","Ski Boots","","","2015-06-02 18:05","0.0","0","0.0","1.0","","Size 42","000008","","","","","","","* 20150512_183640-resized-1024.jpg
* 20150512_183648-resized-1024.jpg"
"#80 Ski Goggles","","Ski Goggles","","","2015-12-03 21:33","0.0","0","0.0","0.0","Aldi","","000080","","","","","","","* 151203_213339.jpg"
"#81 Ski Goggles","","Ski Goggles","","","2015-12-03 21:27","0.0","0","0.0","0.0","Aldi","","000081","","","","","","","* 151203_212813.jpg"
"#82 Ski Boots","","Ski Boots","","","2015-12-03 22:02","0.0","0","0.0","0.0","Leather","","000082","","","","","","","* 151203_220334.jpg"
"#83 Ski Boots","","Ski Boots","","","2016-06-24 18:03","0.0","0","0.0","0.0","Leather ski boots","","000083","","","","","","","* 160624_180330.jpg"
"#84 Ski Boots","","Ski Boots","","","2016-06-24 18:10","0.0","0","0.0","0.0","Leather ","","000084","","","","","","","* 160624_180951.jpg"
"#85 Ski Boots","","Ski Boots","","","2016-06-28 18:20","0.0","0","0.0","0.0","Size 39 leather ski boots","","000085","","","","","","","* 160628_181935.jpg"
"#87 Ski Boots","","Ski Boots","","","2016-06-28 20:36","0.0","0","0.0","0.0","Leather ski boots size 43","","000087","","","","","","","* 160628_203545.jpg"
"#88 Ski Boots","","Ski Boots","","","2016-06-28 20:33","0.0","0","0.0","0.0","Size 42 leather ski boots","","000088","","","","","","","* 160628_203248.jpg"
"#89 Ski Boots","","Ski Boots","","","2016-06-28 20:40","0.0","0","0.0","0.0","Size 42 leather ski boots","","000089","","","","","","","* 160628_204043.jpg"
"#9 Plastic Ski Boots","","Ski Boots","","","2015-06-02 18:06","0.0","0","0.0","1.0","Scarpa size 42","","000009","","","","","","","* 20150512_183719-resized-1024.jpg
* 20150512_183725-resized-1024.jpg"
"#90 Skis","","Skis","","","2016-07-26 20:09","0.0","1","0.0","0.0","New ones","","000090","","","","","","",""
"Assorted Ski Poles","","Ski Poles","","","2015-12-03 22:16","0.0","0","0.0","0.0","","","","","","","","","","* 151203_221605.jpg"
"Black Diamond Expedition Poles","","Ski Poles","","","2015-12-03 19:58","0.0","0","0.0","0.0","","Up to 140cm","","","","","","","","* 151203_195847.jpg"
"Black Diamond Traverse Old Poles 95-145cm","","Ski Poles","","","2015-12-03 20:52","0.0","0","0.0","0.0","","","","","","","","","","* 151203_205235.jpg"
"Black Diamond Traverse Poles 105-155cm","","Ski Poles","","","2015-12-03 20:02","0.0","0","0.0","0.0","","","","","","","","","","* 151203_200454.jpg"
"Black Diamond Traverse Poles 145-195cm","","Ski Poles","","","2015-12-03 20:03","0.0","0","0.0","0.0","","","","","","","","","","* 151203_200422.jpg"
"Morotto Ski Bags","","Other","","","2015-12-03 21:49","0.0","0","0.0","0.0","","","","","","","","","",""
"North Face Ski Bags","","Other","","","2015-12-03 21:47","0.0","0","0.0","0.0","","","","","","","","","",""
